p_value	log2FC	fdr	VIP	group
Asparagine	6.51748674030993e-31	1.26004618517519	1.47946949005035e-28	3.19527062963165	Significant Up
Hypotaurine	1.80517750723996e-26	1.78262870042212	2.04887647071735e-24	2.73374081331486	Significant Up
5-Oxoproline	3.91750219680212e-17	-1.18357956534198	1.1115912483426e-15	3.30107960853306	Significant Down
Cysteine	4.97323622593292e-26	0.879357838067359	3.76308207762258e-24	3.02310985232049	Significant
Aspartate	1.14344030011979e-07	-1.51455673226097	1.85400677233709e-06	1.50051447839356	Significant Down
Glycerolphosphate	1.84521810870578e-17	-2.8101005600792	5.98377872394589e-16	3.34665338603287	Significant Down
Glycerophosphocholine	6.0091701662401e-19	-1.46743122548407	2.728163255473e-17	2.91491332118835	Significant Down
Glutamate	1.0566703798102e-13	-2.59707281008752	2.39864176216916e-12	3.16413598562558	Significant Down
Glutamine	3.12908427772799e-18	0.725243729244714	1.18383688507376e-16	2.48980925587068	Significant
Arachidonic acid	5.16415425516e-12	-1.1264512226698	1.06569365083756e-10	2.78677014779448	Significant Down
Quinic acid	0.00283105863817885	-0.25398322130205	0.011080177773562	1.09083743348917	Significant
Lysine	9.56477262905384e-15	0.68699068619851	2.41244820755025e-13	2.5298445899865	Significant
Cystine	6.7117657600041e-24	1.0060282809972	3.80892706880233e-22	2.69997380961204	Significant Up
Glyoxylic acid	3.40079635511681e-11	0.742948638640489	6.43317310509597e-10	1.83654198673745	Significant
Lactate	3.49995512685077e-07	-0.796434202750448	4.96556133621954e-06	1.85803452799195	Significant
Isoleucine	1.16322201894281e-05	-0.443469772501008	0.000120023362863645	1.65601481243589	Significant
Pentosidine	7.4515715143535e-07	-4.12819609057081	8.90266701978024e-06	2.22650587834392	Significant Down
Nicotinuric acid	2.30412482078625e-05	-0.530333508366152	0.000217931805966032	1.58034767708147	Significant
α-ketoglutarate	3.592091813435e-05	-1.42158839154723	0.000281024903859966	1.81860282194909	Significant Down
Pyruvate	2.1646172165153e-09	0.872179146417564	3.77975467806903e-08	2.00773386692549	Significant
Propionylcarnitine	6.70235111181435e-07	0.415802457706643	8.45240945767698e-06	1.4438993256172	Significant
Malate	2.79640771709417e-05	-0.36750100590555	0.000253913820712151	1.28783551879235	Significant
Oxaloacetate	0.0202818232870443	-0.107496958576135	0.0575496735769881	0.634296152509324	Non-significant
N-acetyl-glutamine	0.00454398461247208	-0.409905930541512	0.0163727699528756	0.914218232072665	Significant
6-Phosphogluconic acid	0.072893356212229	-0.103396493608528	0.165340705411253	0.578893398780081	Non-significant
N-Acetylneuraminic acid	0.00269966964755233	0.563931294496633	0.0107513159648137	1.07642124397028	Significant
Pseudo uridine	0.353983048706683	-0.0668306181697968	0.515090718310365	0.27198279676831	Non-significant
5-Hydroxy-tryptophan	0.162870168194579	0.186639647311414	0.295772225441355	0.779816128281396	Non-significant
Uracil	4.19920844619265e-06	0.219658508143934	4.5391443680273e-05	1.49363961054477	Significant
Aminoacetone	0.0019228839475982	-0.305149711949521	0.00823574822839228	1.00537566737135	Significant
4-Hydroxy-2-oxoglutaric acid	0.0189610813684562	-0.127272458198208	0.0544831072232855	0.721864597045972	Non-significant
Butyrylcarnitine	5.8884385721334e-07	0.769557740912387	7.86279738749578e-06	1.35711823126075	Significant
3-amino-2-Piperidone	3.0676068076127e-05	-0.368998068193878	0.000257676027701839	1.22865610390566	Significant
Homocysteic acid	0.00985803545688563	0.0430032190990109	0.0310801951210144	0.617655349130157	Significant
Hydroxyacetic acid	4.58877978240977e-05	0.582323269445523	0.000328822558374072	1.16761624081339	Significant
Delta-hydroxylysine	0.00318470133659205	-0.307904110147872	0.0118512656296131	1.17659287645168	Significant
Choline	0.00324466691765733	-0.300123130188542	0.0118796675856164	1.17501012945359	Significant
Succinate	4.6353840828063e-05	-0.743113509245882	0.000328822558374072	1.48617523632769	Significant
Myristoleic acid	0.000186586404706522	-0.323506976436657	0.00121014611052516	1.04820872892992	Significant
Octadecanoic acid	0.000281601358452547	-0.427187459811824	0.00168219758865074	1.4667212670243	Significant
Epinephrine glucuronide	0.00311223506141396	-0.376701059755324	0.0117746226490161	1.05866126910507	Significant
Hypoxanthine	0.0787547591386007	-0.542633452259335	0.171897406965984	0.599963359847031	Non-significant
3-Pyridylacetic acid	0.862742607399586	0.0544578813865056	0.922701562360668	0.293546430099737	Non-significant
Uric acid	0.0475578700325487	-0.235864058017087	0.118633368103171	0.631986681926997	Non-significant
Caproic acid	1.49019889585335e-06	-0.39082072411782	1.69137574679355e-05	1.9462129583372	Significant
Parabanic acid	0.0832107723403107	-0.16431541534827	0.178196653974062	0.419426596822408	Non-significant
Glyceric acid, TMS	0.82748143489656	-0.0265480220197528	0.903068681353457	0.0457358847253722	Non-significant
5-Hydroxylysine	0.0219751872451868	0.0884100219263538	0.0608337500567977	0.528499950851151	Non-significant
3-hydroxyoxyisovaleric acid	0.0336227465489196	-0.307560482997409	0.0867314030295995	0.440299266227254	Non-significant
Bilirubin	3.17838272055131e-05	0.617690089672471	0.000257676027701839	1.15066444568773	Significant
2,4-bishydroxybutanoic acid	0.374844561315414	0.0946001922829331	0.535155442884271	0.377390594663032	Non-significant
Pyrrole-2-carboxylic acid	0.590861586286368	-0.124498391507377	0.732926667142107	0.0758602443362881	Non-significant
Methionine	0.77471821212893	-0.00544253248944868	0.87059917897657	0.189920928848633	Non-significant
Picolinic acid	0.542541255514656	-0.174777436461479	0.699754914783108	0.141581411341223	Non-significant
L-methionine	0.740910940561583	-0.0236288076843998	0.844584840641841	0.116694860887407	Non-significant
Octanoic acid	0.270275039613138	0.158854802387249	0.426058569390156	0.269881895987517	Non-significant
Isovalerylcarnitine	0.0411708268273632	-0.329175222964936	0.105008738087769	0.64876771110979	Non-significant
Cholesterol	1.26989366156324e-07	0.365729565470768	1.92177240783237e-06	1.57595659864909	Significant
Nicotinic acid	0.176636444097623	-0.159849536983373	0.313253693829378	0.646642187501183	Non-significant
glycol	0.00897680492785067	-0.105829103023781	0.0287004889946775	0.657793330986371	Significant
Benzoic acid	5.23525740557704e-05	-1.72833681000731	0.000360122251838179	1.99096475234067	Significant Down
4,8 dimethylnonanoyl carnitine	0.000688711136214503	0.35647226310883	0.00339863973740635	0.899388187407936	Significant
Palmitoleic acid	0.0104517147293252	-0.830247092379397	0.0320613411291462	1.4876478593516	Significant
2-aminobutyric acid	0.118925574194963	0.128568195610358	0.22685802808619	0.667342625469607	Non-significant
Glucose 6-phosphate	0.157751579788392	0.277571690061859	0.288787166225524	0.369709682241304	Non-significant
Threonine	3.13329365647478e-05	-0.39964775913051	0.000257676027701839	1.33438732110416	Significant
2-oxo-4-methylvaleric acid	0.00648731475256114	0.262851838458811	0.0226556992127905	1.2373769705093	Significant
4-hydroxy-proline	0.344381899484329	-0.0209882332905141	0.507627864824304	0.557262574313864	Non-significant
Succinyladenosine	0.000665152053431351	0.265330281291344	0.00339863973740635	1.08490933506864	Significant
Dehydroascorbic acid	0.000264778649100476	0.165514026185039	0.00165523535712632	1.24291149098431	Significant
Glycine	0.0735656883107336	-0.283662796714916	0.165340705411253	0.668500576021757	Non-significant
Sphingosine 1-phosphate	3.71398551356783e-05	0.44311319588984	0.000281024903859966	0.992213407660245	Significant
Benzocaine	0.843444377131565	0.0158509296520992	0.911723207661263	0.0538460352444984	Non-significant
d-Galactose	0.0869846319519667	0.213399129955245	0.182577277100191	0.69268522639811	Non-significant
2-methyl-butyric acid	0.655380659170652	-0.0317665211226586	0.778558180230721	0.371268720108389	Non-significant
Bisnorcholic acid	8.2480808623657e-05	0.430008568165767	0.00055068069286971	0.915686658631086	Significant
N-Acetyl glucosamine	0.380577649507732	0.0462822675424056	0.539944540239095	0.491082153078063	Non-significant
Threitol	0.501358941732753	-0.273632852281521	0.66554666534114	0.114187820342735	Non-significant
D-Fructose	0.729964223838401	0.104079117747923	0.844584840641841	0.17234071344543	Non-significant
Palmitoylcarnitine	0.0993137109022732	0.457133267506723	0.199506304201912	0.242527829885712	Non-significant
3-Hydroxydodecanedioic acid	0.199814228730629	-0.289085772250215	0.33391462887566	0.584445173929992	Non-significant
Cystathionine	0.00047388670066948	0.696074358931274	0.0026893070262993	0.875199351100591	Significant
Proline betaine	0.00720436085396131	0.749837038891919	0.0244127703896631	0.898044862577548	Significant
L-phenylalanyl-L-proline	0.102353080082971	-0.105468931633023	0.200294389472711	0.530485306732306	Non-significant
Phenyllactic acid	0.000269796071425876	-4.01732064345306	0.00165523535712632	1.89336773264778	Significant Down
Sorbose	0.93376911860884	0.0116601573830854	0.950518340467294	0.0679940680994714	Non-significant
5-Hydroxyindoleacetic acid	0.738414554968845	-0.0128951915999823	0.844584840641841	0.422705257051717	Non-significant
Oxanilic acid	0.166416439615326	-0.213672453002308	0.299813744386341	0.447752865623487	Non-significant
Decanoic acid	0.072262121243417	0.276835988821014	0.165340705411253	0.339255113873813	Non-significant
3-methyl-2-oxo-butanoic acid	0.00154196246698316	0.2803986234884	0.00712173968535285	1.40496259096434	Significant
3-Indolepropionic acid	0.0319886725549772	1.78846614169395	0.0834646973560898	0.461796340241726	Non-significant
Phosphoserine	0.693931877188831	-0.0100306541548309	0.807807877548024	0.252164733049882	Non-significant
3-Phosphoglyceric acid, TMS	0.455369200007064	0.0662875999413864	0.623707936900713	0.319488090282572	Non-significant
N-acetyl-glycine	0.116293032798221	-0.235199489271559	0.223716258010137	0.465198201839689	Non-significant
Hexadecanoic acid	0.00750092827951635	-0.473834344038807	0.0250398635213267	1.26585553517503	Significant
Citric acid	0.0144240791747224	0.169474710579404	0.0430824470087105	1.02479524940924	Significant
Hexanoylglycine	0.530712627840668	-0.103874439828458	0.696368592600183	0.386892099114246	Non-significant
Androstenedione	0.120165526740229	0.185789850146968	0.227313121416932	0.334742695844213	Non-significant
Arabinofuranose	0.000646596571820389	0.374935447824595	0.00339863973740635	1.01525847477025	Significant
Glycylprolylhydroxyproline	0.497023810127163	0.163892701075694	0.66367296999333	0.0163093075935467	Non-significant
Urea	0.178175722708993	0.115571956743773	0.313534023681717	0.673454749155506	Non-significant
2,3'-Dipyridyl	0.56926595875264	-0.132480424161578	0.717907625760274	0.0948907648938288	Non-significant
Phenylalanine	0.0243882513536541	-0.13586637280672	0.0667003982804756	0.554092162261293	Non-significant
Phenylglyoxylic acid	0.610639291218506	0.0123923316926919	0.74524257584194	0.0687067291359326	Non-significant
1H-Indole-3-acetic acid	0.3270478582145	-0.370429684545142	0.488420156675602	0.233663645756032	Non-significant
Homoanserine	0.901707207175229	0.0610566151850466	0.934646283236425	0.00940122780177506	Non-significant
2-Butenedioic acid	0.594896297839901	-0.0439922394021785	0.733920976139443	0.0890697807578408	Non-significant
Ornithine	0.268077769691985	0.190217251709284	0.426058569390156	0.534028369132917	Non-significant
Progesterone	0.000499637704885932	0.409344990700492	0.00276628680510016	0.98700371982079	Significant
beta-D-Glucopyranuronic acid	0.089687297628009	-0.141027064023961	0.184631432099092	0.614977520671701	Non-significant
Benzaldehyde	0.81122135515014	0.0196925071580336	0.893928122892507	0.0519367928163177	Non-significant
5-Phosphoribosylamine	0.667188367335892	-0.0509476641970212	0.780679172088905	0.215595114298161	Non-significant
Sphingosine	0.58127989342394	-0.0320253788371998	0.725002943995793	0.31311862060465	Non-significant
Hordenine	0.7441276129003	-0.0240656319236048	0.844584840641841	0.0176936122990276	Non-significant
3-hydroxypyridine	0.0786400274762313	-0.0996207378238393	0.171897406965984	0.641694643440217	Non-significant
Xylitol	0.897562585880348	-0.0158850803103794	0.934617921994674	0.0940810988002052	Non-significant
Glycerylphosphorylethanolamine	0.0843636081725197	0.203478863204409	0.178977000515533	0.823254357289089	Non-significant
Methylguanidine	0.00566927168309162	0.135803104803746	0.0201081980009656	0.828866619755931	Significant
3-Hydroxybutyric acid	0.182635909502609	-0.536211099068933	0.316475965321314	0.467519546672071	Non-significant
3,4-bishydroxybutanoic acid	0.859082976958993	0.0172255788231548	0.922701562360668	0.019622507657634	Non-significant
cis-3-Hexenyllactate	0.00805592193214089	-0.0959656512152489	0.0261242039799426	0.669983602887829	Significant
Tiglylglycine	0.391599855784845	-0.225910551619297	0.551699594167964	0.401861774262536	Non-significant
Glyceraldehyde 3-phosphate	0.463612171795242	-0.0711472143686705	0.630179419146826	0.504703533791564	Non-significant
Nonanoic acid	0.00292173611573465	-0.394206562042552	0.0112412559029113	1.47394058670279	Significant
N6-Acetyl-L-lysine	0.886323679958666	-0.0311583153940704	0.931590323410571	0.110541649869023	Non-significant
2-amino-6-methylaminohexanoic acid	0.0876692652155104	0.298594544220609	0.182577277100191	0.299397792217376	Non-significant
2-oxo-3-methyl-pentanoic acid	0.312166633692757	0.0989249433131121	0.469283614889112	0.463226400914162	Non-significant
Methylcysteine	0.190947555214623	0.196698940553573	0.325602129526364	0.446495389869927	Non-significant
d-Xylose	0.552189222272643	-0.245909756360317	0.706259312732318	0.312668395310097	Non-significant
L-Threonic acid	0.578305342840683	0.0789045352263266	0.725002943995793	0.341448131502163	Non-significant
Mannitol	0.00720553134849087	1.35642545973398	0.0244127703896631	0.65320758571133	Significant Up
Guanine	0.888164541109591	0.00856809489667881	0.931590323410571	0.137046254454544	Non-significant
Glucopyranose	0.553806861966311	0.111414920019002	0.706259312732318	0.399483207037759	Non-significant
Aminomalonic acid	0.346969021951001	-0.161964009114527	0.508141728921789	0.289400990541131	Non-significant
18-Hydroxycorticosterone	0.154053694267721	0.185500842314264	0.284310476412786	0.21533610692494	Non-significant
Carnosine	0.00189379010643068	0.224734271507612	0.00823574822839228	1.02928854478301	Significant
Valine	0.291608400626043	0.0665784822941956	0.445615813266689	0.256856353434869	Non-significant
Trimethylamine N-oxide	0.142735282690946	0.256815736251498	0.265581222711843	0.31498542456782	Non-significant
Thiamine	0.00804765457748549	0.402919022242098	0.0261242039799426	0.839137814797114	Significant
Acetylcarnitine	0.186571080317349	-0.410936561069396	0.320845721454835	0.564258115757105	Non-significant
trans-Hexadec-2-enoyl carnitine	0.36401953180688	0.116783153798985	0.522990086836467	0.0511187874492836	Non-significant
3, 4 dehydroproline	0.601005342655288	-0.0524205374431585	0.737449798825677	0.0392522546558683	Non-significant
Linoleyl carnitine	0.00131315180925548	0.39140832011855	0.00624430755980674	0.772498790561022	Significant
6-Dehydrotestosterone glucuronide	0.654461679177982	0.177402463953249	0.778558180230721	0.20458130124017	Non-significant
Arginine	0.0018039956378555	0.238765866144696	0.00802954921163136	0.772824412203284	Significant
Glycolaldehyde	0.000296822647608542	0.190656592529491	0.00172766002582408	1.17388191552827	Significant
Glycerol	0.192205662363581	-0.231538837934965	0.325602129526364	0.82247642290646	Non-significant
Indoleacrylic acid	0.209866019140935	0.0638135513122621	0.342730837014333	0.68882714428893	Non-significant
1-Pyrroline-2-carboxylic acid	0.865794858074107	-0.00719417978833236	0.922701562360668	0.108183089313791	Non-significant
L-Lysine	0.641080179543119	0.0377567992867332	0.769974607176127	0.339949192483011	Non-significant
Guanidineacetic acid	0.207468876456134	0.0351124215209836	0.341271267793785	0.142271454658486	Non-significant
à-Aminoadipic acid	0.832158658024687	0.0455330818449211	0.903827824744517	0.124122233744719	Non-significant
2,2'-Bipyridine	0.0771223847127896	-0.0739887068040738	0.171635111076502	0.412246479341365	Non-significant
Serine	0.0154788807040312	-0.170326271232604	0.0456083740251253	0.671454571644887	Significant
Inositol	0.957603163999363	0.0373274366742178	0.961840346140953	0.0532344944498744	Non-significant
Undecanoic acid	0.206069956388761	-0.747398447552781	0.341271267793785	0.47851643504997	Non-significant
Linoelaidic acid	0.911044303024146	0.0344692278203511	0.935223341682838	0.123532885889148	Non-significant
5-Acetylamino-6-formylamino-3-methyluracil	0.0584846297784618	-0.296138092738205	0.138291780830321	0.451506682622735	Non-significant
Galactonic acid	0.0217881070771785	0.263093391618335	0.0608337500567977	0.90596211971976	Non-significant
Stearoylcarnitine	0.00237215215921229	0.291754963140782	0.00979051891165798	0.657976648474947	Significant
Proline	0.81122992650157	-0.01920224186194	0.893928122892507	0.0728490817633653	Non-significant
4-Deoxypyridoxine	0.393723939450265	-0.0845866208469514	0.551699594167964	0.166419264610654	Non-significant
Decanoylcarnitine	0.000685546249811001	0.631129619577961	0.00339863973740635	0.984235413190968	Significant
