"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"Asparagine","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"Hypotaurine","Hypotaurine","HMDB0000965","107812","16668","C00519","281","NCCS(O)=O","1"
"5-Oxoproline","Pyroglutamic acid","HMDB0000267","7405","18183","C01879","3251","OC(=O)[C@@H]1CCC(=O)N1","1"
"Cysteine","L-Cysteine","HMDB0000574","5862","17561","C00097","5556","N[C@@H](CS)C(O)=O","1"
"Aspartate","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","N[C@@H](CC(O)=O)C(O)=O","1"
"Glycerolphosphate","NA","NA","NA","NA","NA","NA","NA","0"
"Glycerophosphocholine","Glycerophosphocholine","HMDB0000086","657272","16870","C00670","370","C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO","1"
"Glutamate","Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"Glutamine","Glutamine","HMDB0000641","5961","18050","C00064","5614","N[C@@H](CCC(N)=O)C(O)=O","1"
"Arachidonic acid","Arachidonic acid","HMDB0001043","444899","15843","C00219","193","CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"Quinic acid","Quinic acid","HMDB0003072","6508","17521","C00296","3329","O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O","1"
"Lysine","Lysine","HMDB0000182","5962","18019","C00047","5200","NCCCC[C@H](N)C(O)=O","1"
"Cystine","Cystine","HMDB0250712","595","17376","C01420",NA,"NC(CSSCC(N)C(O)=O)C(O)=O","1"
"Glyoxylic acid","Glyoxylic acid","HMDB0000119","760","16891","C00048","3213","OC(=O)C=O","1"
"Lactate","Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@H](O)C(O)=O","1"
"Isoleucine","Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@H](N)C(O)=O","1"
"Pentosidine","Pentosidine","HMDB0003933","119593","59951",NA,NA,"N[C@@H](CCCCN1C=CC=C2N=C(NCCC[C@H](N)C(O)=O)N=C12)C(O)=O","1"
"Nicotinuric acid","Nicotinuric acid","HMDB0003269","68499","7563","C05380","1499","OC(=O)CNC(=O)C1=CN=CC=C1","1"
"alpha-ketoglutarate","Oxoglutaric acid","HMDB0000208","51","30915","C00026","5218","OC(=O)CCC(=O)C(O)=O","1"
"Pyruvate","Pyruvic acid","HMDB0000243","1060","32816","C00022","117","CC(=O)C(O)=O","1"
"Propionylcarnitine","Propionylcarnitine","HMDB0000824","188824","53210","C03017","5787","CCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"Malate","Malic acid","HMDB0000156","222656","30797","C00149",NA,"O[C@@H](CC(O)=O)C(O)=O","1"
"Oxaloacetate","Oxalacetic acid","HMDB0000223","970","30744","C00036","123","OC(=O)CC(=O)C(O)=O","1"
"N-acetyl-glutamine","NA","NA","NA","NA","NA","NA","NA","0"
"6-Phosphogluconic acid","6-Phosphogluconic acid","HMDB0001316","91493","48928","C00345","367","O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"N-Acetylneuraminic acid","N-Acetylneuraminic acid","HMDB0000230","445063","45744","C19910","3321","[H][C@]1(O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO","1"
"Pseudo uridine","NA","NA","NA","NA","NA","NA","NA","0"
"5-Hydroxy-tryptophan","NA","NA","NA","NA","NA","NA","NA","0"
"Uracil","Uracil","HMDB0000300","1174","17568","C00106","258","O=C1NC=CC(=O)N1","1"
"Aminoacetone","Aminoacetone","HMDB0002134","215","17906","C01888","6502","CC(=O)CN","1"
"4-Hydroxy-2-oxoglutaric acid","4-Hydroxy-2-oxoglutaric acid","HMDB0002070","599","30923","C01127","6471","OC(CC(=O)C(O)=O)C(O)=O","1"
"Butyrylcarnitine","Butyrylcarnitine","HMDB0002013","213144","21949","C02862","6436","CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"3-amino-2-Piperidone","3-Amino-2-piperidone","HMDB0000323","5200225","76341",NA,"5312","NC1CCCNC1=O","1"
"Homocysteic acid","L-Homocysteic acid","HMDB0002205","177491","132223","C16511","6545","N[C@@H](CCS(O)(=O)=O)C(O)=O","1"
"Hydroxyacetic acid","Glycolic acid","HMDB0000115","757","17497","C03547","3219","OCC(O)=O","1"
"Delta-hydroxylysine","5-Hydroxylysine","HMDB0000450","3032849","18040","C16741","5439","NC[C@H](O)CC[C@H](N)C(O)=O","1"
"Choline","Choline","HMDB0000097","305","15354","C00114","56","C[N+](C)(C)CCO","1"
"Succinate","Succinic acid","HMDB0000254","1110","15741","C00042","114","OC(=O)CCC(O)=O","1"
"Myristoleic acid","Myristoleic acid","HMDB0002000","5281119","27781","C08322","6424","CCCC\C=C/CCCCCCCC(O)=O","1"
"Octadecanoic acid","Stearic acid","HMDB0000827","5281","28842","C01530","189","CCCCCCCCCCCCCCCCCC(O)=O","1"
"Epinephrine glucuronide","Epinephrine glucuronide","HMDB0010336","53480450",NA,NA,NA,"CNC[C@H](O)C1=CC=C(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)C(O)=C1","1"
"Hypoxanthine","Hypoxanthine","HMDB0000157","790","17368","C00262","83","OC1=NC=NC2=C1NC=N2","1"
"3-Pyridylacetic acid","3-Pyridylacetic acid","HMDB0001538","108","86390",NA,"6308","OC(=O)CC1=CN=CC=C1","1"
"Uric acid","Uric acid","HMDB0000289","1175","17775","C00366","88","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"Caproic acid","Caproic acid","HMDB0000535","8892","30776","C01585","5520","CCCCCC(O)=O","1"
"Parabanic acid","Parabanic Acid","HMDB0062802","67126","74661",NA,NA,"OC1=NC(=O)NC1=O","1"
"Glyceric acid, TMS","NA","NA","NA","NA","NA","NA","NA","0"
"5-Hydroxylysine","5-Hydroxylysine","HMDB0000450","3032849","18040","C16741","5439","NC[C@H](O)CC[C@H](N)C(O)=O","1"
"3-hydroxyoxyisovaleric acid","NA","NA","NA","NA","NA","NA","NA","0"
"Bilirubin","Bilirubin","HMDB0000054","5280352","16990","C00486","81","CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1","1"
"2,4-bishydroxybutanoic acid","NA","NA","NA","NA","NA","NA","NA","0"
"Pyrrole-2-carboxylic acid","Pyrrole-2-carboxylic acid","HMDB0004230","12473","36751","C05942","3787","OC(=O)C1=CC=CN1","1"
"Methionine","Methionine","HMDB0000696","6137","16643","C00073","5664","CSCC[C@H](N)C(O)=O","1"
"Picolinic acid","Picolinic acid","HMDB0002243","1018","28747","C10164",NA,"OC(=O)C1=CC=CC=N1","1"
"L-methionine","Methionine","HMDB0000696","6137","16643","C00073","5664","CSCC[C@H](N)C(O)=O","1"
"Octanoic acid","Caprylic acid","HMDB0000482","379","28837","C06423","5469","CCCCCCCC(O)=O","1"
"Isovalerylcarnitine","Isovalerylcarnitine","HMDB0000688","6426851","73025",NA,"5657","CC(C)CC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"Cholesterol","Cholesterol","HMDB0000067","5997","16113","C00187","163","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C","1"
"Nicotinic acid","Nicotinic acid","HMDB0001488","938","15940","C00253","6272","OC(=O)C1=CN=CC=C1","1"
"glycol","Polyethylene glycol","HMDB0037790","174","30742","C01380",NA,"[H]OCCO[H]","1"
"Benzoic acid","Benzoic acid","HMDB0001870","243","30746","C00180","1297","OC(=O)C1=CC=CC=C1","1"
"4,8 dimethylnonanoyl carnitine","4,8 Dimethylnonanoyl carnitine","HMDB0006202","53477801","63874",NA,NA,"CC(C)CCCC(C)CCC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"Palmitoleic acid","Palmitoleic acid","HMDB0003229","445638","28716","C08362","188","CCCCCC\C=C/CCCCCCCC(O)=O","1"
"2-aminobutyric acid","L-alpha-Aminobutyric acid","HMDB0000452","80283","35619","C02356","12","CC[C@H](N)C(O)=O","1"
