p_value	log2FC	fdr	VIP	group
Asparagine	6.51748674030993e-31	1.26004618517519	1.47946949005035e-28	3.19527062963165	Significant Up
Hypotaurine	1.80517750723996e-26	1.78262870042212	2.04887647071735e-24	2.73374081331486	Significant Up
5-Oxoproline	3.91750219680212e-17	-1.18357956534198	1.1115912483426e-15	3.30107960853306	Significant Down
Cysteine	4.97323622593292e-26	0.879357838067359	3.76308207762258e-24	3.02310985232049	Significant
Aspartate	1.14344030011979e-07	-1.51455673226097	1.85400677233709e-06	1.50051447839356	Significant Down
Glycerolphosphate	1.84521810870578e-17	-2.8101005600792	5.98377872394589e-16	3.34665338603287	Significant Down
Glycerophosphocholine	6.0091701662401e-19	-1.46743122548407	2.728163255473e-17	2.91491332118835	Significant Down
Glutamate	1.0566703798102e-13	-2.59707281008752	2.39864176216916e-12	3.16413598562558	Significant Down
Glutamine	3.12908427772799e-18	0.725243729244714	1.18383688507376e-16	2.48980925587068	Significant
Arachidonic acid	5.16415425516e-12	-1.1264512226698	1.06569365083756e-10	2.78677014779448	Significant Down
Quinic acid	0.00283105863817885	-0.25398322130205	0.011080177773562	1.09083743348917	Significant
Lysine	9.56477262905384e-15	0.68699068619851	2.41244820755025e-13	2.5298445899865	Significant
Cystine	6.7117657600041e-24	1.0060282809972	3.80892706880233e-22	2.69997380961204	Significant Up
Glyoxylic acid	3.40079635511681e-11	0.742948638640489	6.43317310509597e-10	1.83654198673745	Significant
Lactate	3.49995512685077e-07	-0.796434202750448	4.96556133621954e-06	1.85803452799195	Significant
Isoleucine	1.16322201894281e-05	-0.443469772501008	0.000120023362863645	1.65601481243589	Significant
Pentosidine	7.4515715143535e-07	-4.12819609057081	8.90266701978024e-06	2.22650587834392	Significant Down
Nicotinuric acid	2.30412482078625e-05	-0.530333508366152	0.000217931805966032	1.58034767708147	Significant
α-ketoglutarate	3.592091813435e-05	-1.42158839154723	0.000281024903859966	1.81860282194909	Significant Down
Pyruvate	2.1646172165153e-09	0.872179146417564	3.77975467806903e-08	2.00773386692549	Significant
Propionylcarnitine	6.70235111181435e-07	0.415802457706643	8.45240945767698e-06	1.4438993256172	Significant
Malate	2.79640771709417e-05	-0.36750100590555	0.000253913820712151	1.28783551879235	Significant
N-acetyl-glutamine	0.00454398461247208	-0.409905930541512	0.0163727699528756	0.914218232072665	Significant
N-Acetylneuraminic acid	0.00269966964755233	0.563931294496633	0.0107513159648137	1.07642124397028	Significant
Uracil	4.19920844619265e-06	0.219658508143934	4.5391443680273e-05	1.49363961054477	Significant
Aminoacetone	0.0019228839475982	-0.305149711949521	0.00823574822839228	1.00537566737135	Significant
Butyrylcarnitine	5.8884385721334e-07	0.769557740912387	7.86279738749578e-06	1.35711823126075	Significant
3-amino-2-Piperidone	3.0676068076127e-05	-0.368998068193878	0.000257676027701839	1.22865610390566	Significant
Homocysteic acid	0.00985803545688563	0.0430032190990109	0.0310801951210144	0.617655349130157	Significant
Hydroxyacetic acid	4.58877978240977e-05	0.582323269445523	0.000328822558374072	1.16761624081339	Significant
Delta-hydroxylysine	0.00318470133659205	-0.307904110147872	0.0118512656296131	1.17659287645168	Significant
Choline	0.00324466691765733	-0.300123130188542	0.0118796675856164	1.17501012945359	Significant
Succinate	4.6353840828063e-05	-0.743113509245882	0.000328822558374072	1.48617523632769	Significant
Myristoleic acid	0.000186586404706522	-0.323506976436657	0.00121014611052516	1.04820872892992	Significant
Octadecanoic acid	0.000281601358452547	-0.427187459811824	0.00168219758865074	1.4667212670243	Significant
Epinephrine glucuronide	0.00311223506141396	-0.376701059755324	0.0117746226490161	1.05866126910507	Significant
Caproic acid	1.49019889585335e-06	-0.39082072411782	1.69137574679355e-05	1.9462129583372	Significant
Bilirubin	3.17838272055131e-05	0.617690089672471	0.000257676027701839	1.15066444568773	Significant
Cholesterol	1.26989366156324e-07	0.365729565470768	1.92177240783237e-06	1.57595659864909	Significant
glycol	0.00897680492785067	-0.105829103023781	0.0287004889946775	0.657793330986371	Significant
Benzoic acid	5.23525740557704e-05	-1.72833681000731	0.000360122251838179	1.99096475234067	Significant Down
4,8 dimethylnonanoyl carnitine	0.000688711136214503	0.35647226310883	0.00339863973740635	0.899388187407936	Significant
Palmitoleic acid	0.0104517147293252	-0.830247092379397	0.0320613411291462	1.4876478593516	Significant
Threonine	3.13329365647478e-05	-0.39964775913051	0.000257676027701839	1.33438732110416	Significant
2-oxo-4-methylvaleric acid	0.00648731475256114	0.262851838458811	0.0226556992127905	1.2373769705093	Significant
Succinyladenosine	0.000665152053431351	0.265330281291344	0.00339863973740635	1.08490933506864	Significant
Dehydroascorbic acid	0.000264778649100476	0.165514026185039	0.00165523535712632	1.24291149098431	Significant
Sphingosine 1-phosphate	3.71398551356783e-05	0.44311319588984	0.000281024903859966	0.992213407660245	Significant
Bisnorcholic acid	8.2480808623657e-05	0.430008568165767	0.00055068069286971	0.915686658631086	Significant
Cystathionine	0.00047388670066948	0.696074358931274	0.0026893070262993	0.875199351100591	Significant
Proline betaine	0.00720436085396131	0.749837038891919	0.0244127703896631	0.898044862577548	Significant
Phenyllactic acid	0.000269796071425876	-4.01732064345306	0.00165523535712632	1.89336773264778	Significant Down
3-methyl-2-oxo-butanoic acid	0.00154196246698316	0.2803986234884	0.00712173968535285	1.40496259096434	Significant
Hexadecanoic acid	0.00750092827951635	-0.473834344038807	0.0250398635213267	1.26585553517503	Significant
Citric acid	0.0144240791747224	0.169474710579404	0.0430824470087105	1.02479524940924	Significant
Arabinofuranose	0.000646596571820389	0.374935447824595	0.00339863973740635	1.01525847477025	Significant
Progesterone	0.000499637704885932	0.409344990700492	0.00276628680510016	0.98700371982079	Significant
Methylguanidine	0.00566927168309162	0.135803104803746	0.0201081980009656	0.828866619755931	Significant
cis-3-Hexenyllactate	0.00805592193214089	-0.0959656512152489	0.0261242039799426	0.669983602887829	Significant
Nonanoic acid	0.00292173611573465	-0.394206562042552	0.0112412559029113	1.47394058670279	Significant
Mannitol	0.00720553134849087	1.35642545973398	0.0244127703896631	0.65320758571133	Significant Up
Carnosine	0.00189379010643068	0.224734271507612	0.00823574822839228	1.02928854478301	Significant
Thiamine	0.00804765457748549	0.402919022242098	0.0261242039799426	0.839137814797114	Significant
Linoleyl carnitine	0.00131315180925548	0.39140832011855	0.00624430755980674	0.772498790561022	Significant
Arginine	0.0018039956378555	0.238765866144696	0.00802954921163136	0.772824412203284	Significant
Glycolaldehyde	0.000296822647608542	0.190656592529491	0.00172766002582408	1.17388191552827	Significant
Serine	0.0154788807040312	-0.170326271232604	0.0456083740251253	0.671454571644887	Significant
Stearoylcarnitine	0.00237215215921229	0.291754963140782	0.00979051891165798	0.657976648474947	Significant
Decanoylcarnitine	0.000685546249811001	0.631129619577961	0.00339863973740635	0.984235413190968	Significant
Cadaverine	0.00054602459501035	0.433628457164421	0.00295113293017499	1.15648113608043	Significant
Myo-Inositol	0.0103698434631111	0.196718541195678	0.0320613411291462	0.861977070634324	Significant
oleoylcarnitine	0.00156866512893235	0.332636799196841	0.00712173968535285	0.65728225299752	Significant
sarcosine	1.93137614980194e-05	0.68692504090731	0.000190618428697843	1.32892317320618	Significant
3-Succinoylpyridine	0.00132038221528953	0.75434081087803	0.00624430755980674	1.09540283356162	Significant
2,3-Diaminopropionic acid	0.0107573431850441	0.124905291680176	0.0325588920400668	0.744911127676269	Significant
L-Ornithine	0.00222344665800318	0.292385991083672	0.00934671095123561	0.921944761064678	Significant
Hexanoylcarnitine	0.00265611763003406	0.370730468323024	0.0107513159648137	0.822896834500774	Significant
Tetradecanoylcarnitine	0.0156715998852853	0.238218058980939	0.0456083740251253	0.566366659024628	Significant
