p_value	log2FC	fdr	VIP	group
5-Oxoproline	3.91750219680212e-17	-1.18357956534198	1.1115912483426e-15	3.30107960853306	Significant Down
Aspartate	1.14344030011979e-07	-1.51455673226097	1.85400677233709e-06	1.50051447839356	Significant Down
Glycerolphosphate	1.84521810870578e-17	-2.8101005600792	5.98377872394589e-16	3.34665338603287	Significant Down
Glycerophosphocholine	6.0091701662401e-19	-1.46743122548407	2.728163255473e-17	2.91491332118835	Significant Down
Glutamate	1.0566703798102e-13	-2.59707281008752	2.39864176216916e-12	3.16413598562558	Significant Down
Arachidonic acid	5.16415425516e-12	-1.1264512226698	1.06569365083756e-10	2.78677014779448	Significant Down
Pentosidine	7.4515715143535e-07	-4.12819609057081	8.90266701978024e-06	2.22650587834392	Significant Down
α-ketoglutarate	3.592091813435e-05	-1.42158839154723	0.000281024903859966	1.81860282194909	Significant Down
Benzoic acid	5.23525740557704e-05	-1.72833681000731	0.000360122251838179	1.99096475234067	Significant Down
Phenyllactic acid	0.000269796071425876	-4.01732064345306	0.00165523535712632	1.89336773264778	Significant Down
